Cuadricula;Peso;Fecha;Sigma0;Sigma1;Sigma2;Sigma3;Sigma4;Sigma5;Sigma6;Sigma7;Sigma8;Sigma9;Sigma10;Sigma11;Sigma12;Sigma13;Sigma14;Sigma15;Sigma16;Sigma17;Sigma18;Sigma19;Sigma20;Sigma21;Sigma22;Sigma23
0;0;04/01/2025  21:15;0,02803143;0,01104397;0,02982509;0,03581087;0,01134306;0,01127320;0,01100030;0,01165136;0,01219700;0,02046773;0,00878615;0,01505736;0,01533303;0,00561227;0,00711624;0,01863042;0,00736668;0,00533257;0,00782768;0,00676044;0,00740723;0,01129512;0,00671079;0,00577218
0;0;04/01/2025  21:30;0,02678457;0,01055547;0,03062767;0,03411084;0,01083717;0,01150014;0,01054055;0,01111442;0,01233731;0,01950919;0,00841707;0,01549526;0,01491063;0,00554524;0,00711101;0,01815139;0,00721242;0,00480289;0,00756700;0,00662440;0,00735156;0,01096887;0,00659471;0,00577958
0;0;04/01/2025  21:45;0,02772999;0,01091416;0,02999420;0,03539415;0,01120800;0,01131142;0,01087781;0,01150817;0,01218715;0,02023769;0,00868967;0,01523253;0,01553465;0,00564766;0,00529559;0,01891890;0,00743639;0,00428163;0,00782083;0,00681434;0,00625468;0,01141327;0,00677425;0,00408837
0;0;04/01/2025  22:00;0,02829200;0,01111910;0,03083984;0,03612219;0,01140556;0,01156497;0,01109262;0,01171264;0,01233279;0,02066094;0,00884069;0,01563103;0,01559514;0,00567663;0,00692350;0,01897026;0,00746609;0,00461599;0,00787420;0,00684033;0,00724209;0,01145232;0,00680576;0,00569227
0;0;04/01/2025  22:15;0,02802840;0,01105609;0,03069594;0,03580211;0,01133008;0,01150646;0,01103372;0,01164829;0,01216932;0,02049386;0,00879953;0,01555019;0,01497918;0,00551510;0,00702267;0,01820665;0,00720510;0,00464650;0,00773022;0,00661282;0,00726912;0,01105435;0,00658590;0,00579112
0;0;04/01/2025  22:30;0,02733955;0,01077493;0,03176454;0,03485204;0,01106830;0,01177750;0,01073376;0,01135897;0,01220127;0,01994726;0,00858068;0,01604063;0,01512120;0,00552279;0,00583929;0,01839472;0,00725719;0,00434934;0,00758584;0,00665501;0,00642402;0,01109983;0,00662520;0,00467314
0;0;04/01/2025  22:45;0,02871922;0,01131234;0,02994588;0,03670634;0,01161145;0,01129357;0,01126295;0,01192349;0,01224455;0,02100592;0,00899126;0,01518517;0,01509450;0,00560395;0,00711757;0,01832102;0,00730489;0,00555967;0,00773640;0,00670199;0,00717448;0,01113326;0,00668703;0,00570633
0;0;04/01/2025  23:00;0,02814868;0,01107444;0,03129112;0,03592824;0,01137650;0,01161881;0,01101799;0,01168073;0,01228914;0,02055716;0,00881601;0,01583421;0,01542303;0,00561784;0,00707522;0,01875432;0,00737173;0,00507118;0,00771542;0,00676298;0,00708729;0,01132549;0,00672792;0,00577559
0;0;04/01/2025  23:15;0,02916606;0,01147075;0,03056349;0,03732887;0,01177923;0,01143686;0,01144282;0,01210225;0,01184855;0,02136044;0,00911638;0,01543137;0,01538086;0,00563071;0,00686723;0,01866211;0,00737714;0,00477374;0,00791777;0,00677824;0,00706850;0,01134344;0,00674227;0,00570859
0;0;04/01/2025  23:30;0,02660062;0,01047976;0,03072928;0,03383170;0,01074729;0,01144065;0,01053353;0,01103043;0,01219485;0,01939538;0,00835730;0,01555091;0,01468308;0,00542760;0,00550404;0,01791179;0,00707477;0,00431625;0,00754684;0,00650112;0,00618626;0,01079852;0,00646409;0,00443153
0;0;04/01/2025  23:45;0,02767541;0,01092042;0,03017640;0,03533295;0,01120573;0,01133697;0,01090024;0,01150633;0,01206905;0,02021535;0,00870146;0,01527152;0,01523366;0,00560645;0,00677692;0,01855231;0,00733642;0,00460180;0,00781611;0,00673205;0,00693656;0,01122046;0,00670305;0,00563051
0;0;05/01/2025  0:00;0,02764067;0,01090018;0,03085384;0,03528042;0,01118836;0,01147659;0,01085589;0,01148441;0,01201630;0,02018457;0,00868591;0,01556438;0,01495770;0,00553928;0,00670769;0,01818386;0,00721743;0,00458251;0,00761425;0,00662835;0,00691814;0,01101092;0,00659958;0,00558603
0;0;05/01/2025  0:15;0,02781573;0,01098994;0,03044545;0,03546346;0,01128386;0,01136123;0,01095941;0,01157902;0,01204782;0,02031718;0,00877767;0,01545425;0,01498303;0,00550718;0,00438430;0,01823508;0,00720577;0,00406688;0,00768324;0,00661466;0,00541200;0,01102386;0,00658006;0,00336321
0;0;05/01/2025  0:30;0,02807496;0,01105739;0,03057339;0,03583750;0,01135310;0,01144172;0,01102324;0,01165122;0,01197575;0,02049562;0,00880945;0,01545188;0,01558821;0,00568972;0,00683009;0,01896718;0,00747328;0,00550700;0,00786971;0,00685294;0,00692680;0,01144763;0,00682072;0,00559831
0;0;05/01/2025  0:45;0,02832152;0,01113313;0,03035494;0,03615270;0,01141765;0,01134974;0,01112744;0,01173514;0,01204140;0,02070337;0,00885986;0,01536146;0,01513890;0,00556626;0,00699459;0,01840113;0,00728285;0,00513507;0,00772092;0,00668134;0,00703993;0,01114975;0,00664724;0,00574726
0;0;05/01/2025  1:00;0,02807855;0,01104422;0,03070194;0,03588658;0,01133615;0,01144042;0,01098173;0,01164976;0,01192615;0,02052437;0,00879733;0,01549362;0,01503936;0,00554820;0,00596334;0,01823942;0,00724627;0,00458548;0,00762255;0,00665336;0,00637746;0,01107677;0,00663060;0,00479805
0;0;05/01/2025  1:15;0,02891005;0,01136344;0,03129222;0,03694981;0,01166294;0,01157070;0,01134895;0,01198870;0,01197705;0,02115457;0,00903766;0,01580385;0,01605549;0,00577451;0,00659373;0,01954551;0,00763267;0,00459850;0,00802009;0,00699565;0,00688297;0,01176867;0,00694874;0,00551278
0;0;05/01/2025  1:30;0,02761247;0,01088615;0,03165251;0,03522824;0,01117421;0,01163815;0,01083107;0,01146956;0,01204435;0,02015314;0,00866210;0,01599060;0,01527024;0,00561721;0,00662337;0,01858062;0,00733747;0,00456889;0,00769607;0,00673962;0,00680912;0,01121805;0,00669952;0,00554042
